"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FCTY","1st Century Bancshares, Inc","4.55","41486790.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fcty",
"EGHT","8x8 Inc","6.0899","432910620.2845","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght",
"ASTM","Aastrom Biosciences, Inc.","1.7301","73683187.3776","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/astm",
"AXAS","Abraxas Petroleum Corporation","2.06","190210217.42","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas",
"ACNB","ACNB Corporation","15.1","89928578.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb",
"ACPW","Active Power, Inc.","0.8096","77242018.0576","n/a","2000","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/acpw",
"ACUR","Acura Pharmaceuticals, Inc.","1.68","77050548.96","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acur",
"ADES","ADA-ES, Inc.","24.28","243137734.8","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades",
"AVCA","Advocat, Inc.","6.0001","35300058.3245","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/avca",
"AEHR","Aehr Test Systems","1.09","10004039.62","n/a","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/aehr",
"ATRM","Aetrium Incorporated","1.14","12290854.14","n/a","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/atrm",
"AGEN","Agenus Inc.","4.98","121839106.32","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/agen",
"AIRT","Air T, Inc.","8.13","19888305.18","n/a","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/airt",
"ABVA","Alliance Bankshares Corporation","4.5","22994860.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/abva",
"AFOP","Alliance Fiber Optic Products, Inc.","9.5499","84086229.6567","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/afop",
"ALTI","Altair Nanotechnologies Inc.","0.6902","47936106.5274","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/alti",
"AMBT","Ambient Corporation","5.1","84697658.4","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/ambt",
"ASBI","Ameriana Bancorp","6.44","19248850.88","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbi",
"ANCI","American Caresource Holdings Inc","1.5983","9121728.2552","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/anci",
"AETI","American Electric Technologies, Inc.","4.64","36724138.4","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aeti",
"ALRN","American Learning Corporation","0.9601","4723322.3615","n/a","1984","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/alrn",
"ARCP","American Realty Capital Properties, Inc.","11.84","132177225.28","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/arcp",
"ATLO","Ames National Corporation","21.1","196460264.3","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AMPL","Ampal-American Israel Corporation","1.78","4995904.64","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ampl",
"AMPE","Ampio Pharmaceuticals, Inc.","2.92","108003949.68","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"ANDA","Andina Acquisition Corporation","9.68","101640000","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAU","Andina Acquisition Corporation","10","16500010","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corporation","0.25","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"ANNB","Annapolis Bancorp Inc.","7.14","28383841.92","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/annb",
"ATRS","Antares Pharma, Inc.","3.8601","422003718.6156","n/a","2002","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/atrs",
"APAGF","Apco Oil and Gas International Inc.","16.57","487841346.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/apagf",
"ATNY","API Technologies Corp.","3.01","164841497.17","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/atny",
"ARCI","Appliance Recycling Centers of America, Inc.","3.54","19667981.58","n/a","n/a","Consumer Services","Home Furnishings","http://www.nasdaq.com/symbol/arci",
"APRI","Apricus Biosciences, Inc","2.92","86420690.84","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/apri",
"ARCW","ARC Group Worldwide, Inc.","7.37","11683727.33","n/a","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/arcw",
"ABIO","ARCA biopharma, Inc.","0.35","5116859.3","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/abio",
"ARWR","Arrowhead Research Corporation","2.64","29860554.24","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/arwr",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","6.34","25587301.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artw",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.97","41077383.93","n/a","n/a","Basic Industries","Telecommunications Equipment","http://www.nasdaq.com/symbol/apwc",
"APPY","AspenBio Pharma, Inc.","1.43","11034566.4","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/appy",
"ATEA","Astea International, Inc.","4.64","16575467.36","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atea",
"ASTC","Astrotech Corporation","1.19","23202096.4","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/astc",
"ASUR","Asure Software Inc","7.49","39228860.02","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"AFCB","Athens Bancshares Corporation","16","39986560","n/a","2010","Finance","Savings Institutions","http://www.nasdaq.com/symbol/afcb",
"ATHX","Athersys, Inc.","1.49","44298211.07","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/athx",
"ATTU","Attunity Ltd.","7.3701","76235783.7528","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"AAC","Australia Acquisition Corp.","10.0722","85949436.6426","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aac",
"AACOU","Australia Acquisition Corp.","10.26","82080000","n/a","2010","Finance","Business Services","http://www.nasdaq.com/symbol/aacou",
"AACOW","Australia Acquisition Corp.","0.3","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/aacow",
"ADAT","Authentidate Holding Corp.","1.4","75674382","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adat",
"ABTL","Autobytel Inc.","3.6118","31968626.9116","n/a","1999","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/abtl",
"BOSC","B.O.S. Better Online Solutions","0.49","2191102.13","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BMRC","Bank of Marin Bancorp","40.12","215240269.44","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmrc",
