"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"FCCY","1st Constitution Bancorp (NJ)","9","46187397","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy",
"TCHC","21st Century Holding Company","6.17","49035359.28","n/a","1998","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/tchc",
"VNET","21Vianet Group, Inc.","10.46","352069719.58","33658673","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet",
"ACHC","Acadia Healthcare Company, Inc.","21.2777","887944826.6257","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","1.8","95454016.2","n/a","1985","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad",
"ANCX","Access National Corporation","14.05","144381551.35","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.98","67422500","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx",
"ACFN","Acorn Energy, Inc.","8.76","157038347.52","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/acfn",
"ADUS","Addus HomeCare Corporation","5.05","54632834.15","n/a","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","2.17","22110390.4","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey",
"ADEP","Adept Technology, Inc.","4.17","44388690.9","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/adep",
"AEGR","Aegerion Pharmaceuticals, Inc.","15.02","382538657.38","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aegr",
"AEZS","AEterna Zentaris Inc.","0.4999","56172626.2274","n/a","n/a","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aezs",
"ALCS","ALCO Stores, Inc.","6.85","26087115.3","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/alcs",
"ALXA","Alexza Pharmaceuticals, Inc.","4.908","59075838.936","n/a","2006","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alxa",
"ALIM","Alimera Sciences, Inc.","2.4","75437868","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alim",
"ALLB","Alliance Bancorp, Inc. of Pennsylvania","12.35","67516671.95","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/allb",
"AHPI","Allied Healthcare Products, Inc.","2.78","22585793.08","n/a","1992","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ahpi",
"AMOT","Allied Motion Technologies, Inc.","6.184","53475101.088","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/amot",
"AMRN","Amarin Corporation PLC","14.67","2037412040.31","138882893","1995","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"AMIC","American Independence Corp.","5.0799","42022619.3268","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/amic",
"APFC","American Pacific Corporation","13.16","100313297.56","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/apfc",
"ASRV","AmeriServ Financial Inc.","2.9","55925110.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.63","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"FOLD","Amicus Therapeutics, Inc.","5.25","259032800.25","n/a","2007","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fold",
"ANAC","Anacor Pharmaceuticals, Inc.","6.62","208649762.42","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anac",
"ANLY","Analysts International Corporation","3.91","19869083.37","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/anly",
"ANCB","Anchor Bancorp","12","30600000","n/a","2011","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"AMCF","Andatee China Marine Fuel Services Corporation","1.186","11289494.862","n/a","2010","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/amcf",
"ANGI","Angie&#39;s List, Inc.","9.73","562054578.68","n/a","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/angi",
"ANTH","Anthera Pharmaceuticals, Inc.","0.9125","72189581.375","n/a","2010","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/anth",
"ARDNA","Arden Group, Inc.","91","279461000","n/a","n/a","Consumer Services","Food Chains","http://www.nasdaq.com/symbol/ardna",
"ARKR","Ark Restaurants Corp.","16.145","52388022.525","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/arkr",
"ARTX","Arotech Corporation","0.78","12432997.98","n/a","1994","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/artx",
"ARQL","ArQule, Inc.","5.52","343781371.68","n/a","1996","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arql",
"ARRY","Array BioPharma Inc.","5.59","514951045.96","n/a","2000","Consumer Durables","Major Pharmaceuticals","http://www.nasdaq.com/symbol/arry",
"ASBB","ASB Bancorp, Inc.","14.55","81255217.05","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"ASTI","Ascent Solar Technologies, Inc.","1.75","72308124","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asti",
"AERL","Asia Entertainment & Resources Ltd","3.44","146032004.16","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/aerl",
